FCID_Code,FCID_Desc,GHGE,CED,e,f,wweia_codes,wweia_desc,Portion_description,Portion_weight,Fruit,Veg,Meat,Dairy,Grain,Protein,Oil,Beverage,ingredient_code,kcal,proteins,carbs,fat,sugar,kgCO2perKCal,kgCO2perPortion,kcalPortion,proteinPortion,carbsPortion,fatPortion,sugarPortion
902135000,Cucumber,0.41,0.865,1,,75111000,"Cucumber, raw","1 cup, sliced",119,0,1,0,0,0,0,0,0,11206,12,0.59,2.16,0.16,1.38,0.003416667,0.04879,14.28,0.7021,2.5704,0.1904,1.6422
1500127000,Corn,0.76,6.642,1,,75109600,"Corn, raw",1 cup,145,0,1,0,0,0,0,0,0,11167,86,3.27,18.7,1.35,6.26,0.000883721,0.1102,124.7,4.7415,27.115,1.9575,9.077
2202085000,Celery,0.33,5.881,1,,75109000,"Celery, raw","1 cup, diced",120,0,1,0,0,0,0,0,0,11143,16,0.69,2.97,0.17,1.34,0.0020625,0.0396,19.2,0.828,3.564,0.204,1.608
500083000,Cauliflower,0.93,4.404,1,,75107000,"Cauliflower, raw",1 cup,107,0,1,0,0,0,0,0,0,11135,25,1.92,4.97,0.28,1.91,0.00372,0.09951,26.75,2.0544,5.3179,0.2996,2.0437
500069000,Cabbage,0.22,1.375,1,,75103000,"Cabbage, green, raw","1 cup, chopped",89,0,1,0,0,0,0,0,0,11109,25,1.28,5.8,0.1,3.2,0.00088,0.01958,22.25,1.1392,5.162,0.089,2.848
500064000,Brussels sprouts,0.49,4.185,1,brassica,75102750,"Brussels sprouts, raw",1 cup,88,0,1,0,0,0,0,0,0,11098,43,3.38,8.95,0.3,2.2,0.001139535,0.04312,37.84,2.9744,7.876,0.264,1.936
101050000,Beet Roots,0.19,1.221,1,,75102500,"Beets, raw",1 cup,136,0,1,0,0,0,0,0,0,11080,43,1.61,9.56,0.17,6.76,0.00044186,0.02584,58.48,2.1896,13.0016,0.2312,9.1936
2201019000,Asparagus,2.17,20.181,1,,75100800,"Asparagus, raw",1 cup,134,0,1,0,0,0,0,0,0,11011,20,2.2,3.88,0.12,1.88,0.01085,0.29078,26.8,2.948,5.1992,0.1608,2.5192
801375000,Tomato,0.47,2.629,1,,74101000,"Tomatoes, raw","1 cup, chopped",180,0,1,0,0,0,0,0,0,11529,18,0.88,3.89,0.2,2.63,0.002611111,0.0846,32.4,1.584,7.002,0.36,4.734
103366000,Sweet potato,0.3,2.24,1, potato,73401000,"Sweet potato, NFS","1 cup, cubes",130,0,1,0,0,0,0,0,0,73405000,86,1.6,20,0.1,4.2,0.000348837,0.039,111.8,2.08,26,0.13,5.46
902357000,"Squash, winter",0.06,1.354,1,,73302010,"Squash, winter type, raw","1 cup, cubed",140,0,1,0,0,0,0,0,0,11643,34,0.95,8.59,0.13,2.2,0.000176471,0.0084,47.6,1.33,12.026,0.182,3.08
500061000,Broccoli,0.8,7.037,1,,72201100,"Broccoli, raw","1 cup, chopped",88,0,1,0,0,0,0,0,0,11090,34,2.82,6.64,0.37,1.7,0.002352941,0.0704,29.92,2.4816,5.8432,0.3256,1.496
401355000,Spinach,0.31,2.156,1,,72125100,"Spinach, raw",2 cups,50,0,1,0,0,0,0,0,0,11457,23,2.86,3.63,0.39,0.42,0.001347826,0.0155,11.5,1.43,1.815,0.195,0.21
402194000,Kale,0.19,0.758,1,,72119190,"Kale, raw",2 cups,50,0,1,0,0,0,0,0,0,11233,49,4.28,8.75,0.93,2.26,0.000387755,0.0095,24.5,2.14,4.375,0.465,1.13
402117000,Collards,0.21,0.809,1, brassica_greens,72107100,"Collards, raw",1 cup,36,0,1,0,0,0,0,0,0,11161,32,3.02,5.42,0.61,0.46,0.00065625,0.00756,11.52,1.0872,1.9512,0.2196,0.1656
103299000,Potato,0.22,1.611,1,,71000100,"Potato, NFS","1 cup, cubes",130,0,1,0,0,0,0,0,0,71103000,77,2,17,0.1,0.8,0.000285714,0.0286,100.1,2.6,22.1,0.13,1.04
2402020000,Avocado,0.55,9.187,1,,63105010,"Avocado, raw",1 avocado,136,0,1,0,0,0,0,0,0,9037,160,2,8.53,14.66,0.66,0.00034375,0.0748,217.6,2.72,11.6008,19.9376,0.8976
8601200000,"Water, bottled",0.01,0.133,2,,94100100,"Water, bottled, unsweetened",1 cup,240,0,0,0,0,0,0,0,1,14555,0,0,0,0,0,0,0.0024,0,0,0,0,0
